company_id,company_name,year,peer_group_name,broad_sector,roe_pct,roce_pct,npm_pct,opm_pct,debt_to_equity,interest_coverage,fcf_cr,fcf_cagr_5y_pct,cfo_pat_ratio,revenue_cagr_5y_pct,pat_cagr_5y_pct,eps_cagr_5y_pct,revenue_cagr_3y_pct,asset_turnover,pe,pb,dividend_yield_pct,dividend_payout_pct,market_cap_cr,net_profit_cr,sales_cr,fcf_positive,de_yoy_change
ABB,Abb,2024,Industrials & Defence,Industrials,15.13,18.89,11.67,18.67,0.0,Debt Free,1572.82,8.32,1.517,7.43,8.42,9.87,5.93,1.284,13.0,1.35,2.25,35,180897.48,2289.64,19614.11,1,0.02
ADANIENSOL,Adaniensol,2024,Energy & Utilities,Energy,13.01,18.67,9.65,17.35,1.2,8.57,300.0,7.49,1.325,7.03,7.68,8.57,5.53,1.342,30.12,3.08,0.77,52,160559.45,1752.26,18159.1,1,0.038
ADANIENT,Adanient,2024,Consumer & Real Estate,Consumer Discretionary,13.96,20.65,10.1,18.5,1.55,10.4,1185.0,8.53,1.421,7.66,8.22,9.31,11.56,1.525,30.8,3.36,0.99,59,175442.92,1965.53,19465.38,1,-0.07
ADANIGREEN,Adanigreen,2024,Energy & Utilities,Energy,15.86,23.32,11.37,20.47,2.05,12.32,300.0,10.29,1.546,8.75,9.35,11.0,7.25,1.749,31.48,3.64,1.21,66,202274.59,2459.27,21623.01,1,0.074
ADANIPORTS,Adaniports,2024,Industrials & Defence,Industrials,17.61,20.68,12.52,22.32,2.25,14.48,1910.98,11.93,1.667,9.78,10.39,12.55,12.48,1.966,32.16,3.93,0.55,73,228693.18,2961.45,23649.84,1,-0.12
ADANIPOWER,Adanipower,2024,Energy & Utilities,Energy,13.42,18.96,13.28,20.28,2.6,15.01,300.0,13.24,1.774,10.58,11.16,13.65,9.08,2.164,32.84,4.21,0.77,80,181213.55,2699.61,20326.25,1,0.038
AMBUJACEM,Ambujacem,2024,Materials & Cement,Materials,14.61,21.12,10.34,18.04,0.7,18.92,2860.12,14.47,1.269,11.32,7.65,14.64,9.82,1.217,33.52,4.5,0.99,87,199498.64,2259.69,21850.6,1,0.056
APOLLOHOSP,Apollohosp,2024,Pharma & Healthcare,Healthcare,17.05,24.17,12.04,20.44,0.776,8.06,3528.7,8.14,1.41,7.32,8.98,16.65,5.82,1.462,33.3,2.28,1.21,45,234370.65,2949.57,24493.48,1,0.074
ASIANPAINT,Asianpaint,2024,Consumer & Real Estate,Consumer Discretionary,18.62,21.41,13.01,22.11,0.0,Debt Free,4042.38,9.59,1.525,8.19,9.83,17.88,6.69,1.67,33.44,2.49,0.55,52,259727.73,3429.37,26361.92,1,0.02
BAJAJ-AUTO,Bajaj Auto,2024,Auto & Mobility,Consumer Discretionary,20.17,23.82,13.97,23.77,0.0,Debt Free,4550.61,11.08,1.839,9.11,10.73,19.21,7.61,1.879,17.0,2.43,3.37,53,285714.15,3941.04,28203.05,1,0.038
